Nom,Type,Rarete,Etat,Weight,Calorie au 100g,Protéine,Glucide,Lipide,Fibre
Bière,Alcool,Rare,,70,13,1,2,0,1
Câpres,Condiment,Rare,,200,164,9,27,3,8
Crabe,Crustace,Rare,,2,295,23,50,7,7
Crevette,Crustace,Commun,,50,74,0,19,0,3
Seiche,Crustace,Rare,,28,691,9,14,72,10
Zélande (moules de),Crustace,Très rare,Liquid,330,43,0,3,0,0
Blé,Feculent,Commun,,40,14,1,3,0,2
Châtaigne,Feculent,Rare,,100,25,2,5,0,2
Maïs,Feculent,Commun,,45,354,3,15,33,9
Marron,Feculent,Rare,,50,143,13,1,10,0
Pain complet,Feculent,Commun,,4,16,0,4,0,2
Patate douce,Feculent,Commun,,185,365,7,80,1,1
Pomme de terre,Feculent,Commun,,120,141,20,0,6,0
Quinoa,Feculent,Rare,,10,109,5,24,2,8
Riz,Feculent,Commun,,5,265,4,54,6,18
Riz blanc,Feculent,Commun,,20,172,24,7,5,0
Riz brun,Feculent,Rare,,6,43,1,11,0,11
Sarrasin,Feculent,Rare,,110,40,1,9,0,2
Semoule,Feculent,Commun,,2,36,3,6,1,3
Sorgho,Feculent,Très rare,,113,93,20,0,1,0
Tapioca,Feculent,Rare,,200,38,1,10,0,2
Topinambour,Feculent,Rare,,5,290,57,24,8,3
Yacon,Feculent,Très rare,,34,11,2,1,0,1
Yam,Feculent,Très rare,,5,56,1,14,0,4
Acerola,Fruit,Très rare,,5,32,0,8,0,1
Airelle,Fruit,Rare,,15,46,0,12,0,3
Ananas,Fruit,Commun,,20,131,20,0,5,0
Banane,Fruit,Commun,,82,43,2,10,0,3
Bleuet,Fruit,Rare,,91,34,3,7,0,3
Bleuets,Fruit,Rare,,5,228,20,58,14,33
Cantaloup,Fruit,Commun,,13,486,17,42,31,34
Cassis,Fruit,Rare,,67,49,4,9,1,4
Citron,Fruit,Commun,,100,99,24,1,1,0
Clémentine,Fruit,Commun,,3,375,18,44,22,11
Coing,Fruit,Rare,,10,354,8,65,10,21
Cranberry,Fruit,Rare,,234,31,1,7,0,3
Dattes,Fruit,Commun,,15,53,1,12,0,7
Figue,Fruit,Commun,,172,333,22,60,1,15
Fraise,Fruit,Commun,Liquid,5,884,0,0,100,0
Framboise,Fruit,Commun,,14,28,1,6,0,2
Grenade,Fruit,Commun,Liquid,250,42,3,5,1,0
Groseille,Fruit,Rare,,36,5,0,1,0,1
Kiwi,Fruit,Commun,,88,53,1,13,0,2
Lime,Fruit,Commun,,150,82,18,0,1,0
Litchi,Fruit,Rare,,15,43,1,10,1,5
Mandarine,Fruit,Commun,,7,691,9,14,72,10
Mangue,Fruit,Commun,,7,654,15,14,65,7
Melon,Fruit,Commun,,3,145,0,4,15,3
Mûre,Fruit,Commun,,170,75,1,18,0,5
Myrtille,Fruit,Rare,,304,43,0,11,0,2
Orange,Fruit,Commun,,66,46,0,12,0,1
Pamplemousse,Fruit,Commun,,20,48,1,11,0,4
Papaye,Fruit,Rare,,15,362,0,90,0,0
Pastèque,Fruit,Commun,,100,21,1,5,0,2
Pêche,Fruit,Commun,,20,25,3,4,1,2
Poire,Fruit,Commun,,9,573,18,23,50,12
Pomelo,Fruit,Commun,,100,18,1,4,0,1
Pomme,Fruit,Commun,,150,73,2,18,0,2
Prune,Fruit,Commun,,2,37,1,8,1,2
Raisin,Fruit,Commun,Liquid,170,59,10,4,0,0
Tamarin,Fruit,Très rare,,119,20,1,5,0,2
Cheddar,Laitage,Commun,,80,25,1,6,0,3
Feta,Laitage,Commun,,172,341,22,63,2,16
Fromage bleu,Laitage,Rare,,130,38,1,9,0,5
Fromage cheddar,Laitage,Commun,,67,49,4,9,1,2
Lait,Laitage,Commun,,200,60,1,14,0,2
Yaourt grec,Laitage,Commun,,193,371,14,65,7,7
Yaourt nature,Laitage,Commun,,2,337,18,50,16,15
Ail,Legume,Commun,,3,149,6,33,0,2
Algues,Legume,Rare,,10,35,6,0,1,5
Artichaut,Legume,Commun,,150,25,1,6,0,3
Asperge,Legume,Commun,,150,160,2,9,15,7
Aubergine,Legume,Commun,,30,541,37,2,42,0
Basilic,Legume,Commun,,5,717,1,1,81,0
Bette,Legume,Rare,,50,327,13,72,2,11
Betterave,Legume,Commun,,20,57,1,14,0,2
Bok choy,Legume,Rare,,3,247,4,81,1,53
Bourrache,Legume,Très rare,,8,23,2,5,1,3
Branche de céleri,Legume,Commun,,2,311,11,68,7,28
Brocoli,Legume,Commun,,61,41,1,10,0,3
Brunoise,Legume,Rare,,30,63,1,15,0,5
Carotte,Legume,Commun,,20,43,3,9,0,4
Céleri,Legume,Commun,,89,31,2,7,0,2
Champignon,Legume,Commun,,100,25,2,5,0,4
Chou,Legume,Commun,,92,57,1,15,0,2
Chou de Bruxelles,Legume,Commun,,150,16,1,4,0,1
Chou frisé,Legume,Commun,,2,298,12,55,18,42
Chou kale,Legume,Rare,,4,23,2,4,1,3
Chou rouge,Legume,Commun,,205,34,1,9,0,3
Chou vert,Legume,Commun,,124,17,1,3,0,1
Chou-fleur,Legume,Commun,,100,83,18,0,1,0
Ciboulette,Legume,Commun,,100,46,0,12,0,4
Concombre,Legume,Commun,,24,277,2,75,0,7
Coriandre,Legume,Commun,,25,72,3,17,0,3
Courge,Legume,Commun,,30,23,3,4,0,2
Courgette,Legume,Commun,,30,23,3,4,0,2
Cresson,Legume,Rare,,150,264,14,4,21,0
Échalote,Legume,Commun,,28,353,21,2,29,0
Endive,Legume,Commun,,40,402,25,1,33,0
Epinard,Legume,Commun,,24,80,2,18,1,2
Estragon,Legume,Rare,,282,83,1,19,1,4
Fenouil,Legume,Commun,,50,31,2,7,0,3
Gingembre,Legume,Commun,,17,108,2,29,0,1
Gombo,Legume,Rare,,69,61,1,15,1,3
Haricot vert,Legume,Commun,,192,352,25,63,1,31
Jalapeno,Legume,Rare,,19,66,1,17,0,1
Kale,Legume,Rare,,2,718,8,14,76,9
Laitue,Legume,Commun,,20,196,2,42,2,5
Nori,Legume,Très rare,,213,77,2,18,0,2
Oignon,Legume,Commun,,205,26,1,7,0,1
Panais,Legume,Rare,,49,69,1,18,0,1
Persil,Legume,Commun,,170,343,13,71,3,10
Piment,Legume,Commun,,1,315,11,43,13,40
Poireau,Legume,Commun,,186,446,36,30,20,9
Poivron,Legume,Commun,,100,144,15,3,8,1
Potiron,Legume,Commun,,120,135,29,0,2,0
Radis,Legume,Commun,Liquid,30,153,0,4,0,0
Raifort,Legume,Rare,,20,54,2,13,0,2
Rhubarbe,Legume,Rare,Liquid,245,59,4,8,2,0
Roquette,Legume,Commun,,28,718,8,14,76,9
Sauge,Legume,Rare,,16,588,25,20,50,6
Spiruline,Legume,Très rare,,2,251,11,64,3,25
Tomate,Legume,Commun,,20,18,1,3,0,1
Tomate cerise,Legume,Commun,,5,21,1,4,0,1
Wakame,Legume,Très rare,,150,118,2,28,0,4
Cresson,Legume,Rare,,1,0,0,0,0,0
Haricots noirs,Legume,Commun,,192,353,25,60,1,31
Haricots rouges,Legume,Commun,,200,116,9,20,1,8
Lentilles,Legume,Commun,,2,44,4,8,1,8
Luzerne,Legume,Très rare,,16,57,0,14,0,2
Pois chiche,Legume,Commun,,8,239,2,63,1,6
Soja,Legume,Commun,,28,562,20,28,45,10
Tofu,Legume,Commun,,200,360,12,72,1,4
Avocat,Lipide,Commun,,120,89,1,23,0,3
Beurre,Lipide,Commun,,85,332,14,0,30,0
Cacao,Lipide,Commun,,70,22,3,3,0,1
Huile d'olive,Lipide,Commun,,10,534,18,29,42,27
Amande,Oleagineux,Commun,,1,576,21,22,49,12
Cacahuète,Oleagineux,Commun,,40,16,1,3,0,2
Cajou,Oleagineux,Commun,,20,213,2,45,2,8
Chia,Oleagineux,Rare,,3,30,3,4,1,3
Lin,Oleagineux,Rare,,5,66,4,8,4,4
Macadamia,Oleagineux,Rare,,2,628,15,17,61,10
Noisette,Oleagineux,Commun,,286,30,1,8,0,0
Noix,Oleagineux,Commun,,100,42,1,10,0,2
Noix de coco,Oleagineux,Commun,,178,57,0,15,0,3
Noix de macadamia,Oleagineux,Rare,,164,364,19,61,6,17
Noix de pécan,Oleagineux,Rare,,119,31,1,6,0,2
Olive,Oleagineux,Commun,,120,165,31,0,3,0
Pécan,Oleagineux,Rare,,2,331,3,64,15,43
Pistache,Oleagineux,Commun,,150,206,22,0,13,0
Sésame,Oleagineux,Commun,,15,40,2,9,0,1
Anchois,Poisson,Rare,,128,47,3,11,0,5
Flétan,Poisson,Rare,,30,177,5,9,9,4
Morue,Poisson,Rare,,30,247,9,49,3,7
Poisson blanc,Poisson,Commun,,150,144,32,0,1,0
Sardine,Poisson,Commun,,25,208,25,0,12,0
Saumon,Poisson,Commun,,130,86,2,20,0,3
Sole,Poisson,Rare,,89,61,1,14,0,2
Thon,Poisson,Commun,,195,370,8,77,3,3
Truite,Poisson,Commun,,150,358,0,89,0,1
Bouillon,Sauce,Commun,,150,34,1,8,0,1
Chili,Sauce,Commun,,74,47,1,12,0,2
Ketchup,Sauce,Commun,,150,96,3,21,1,2
Moutarde,Sauce,Commun,,123,42,1,11,0,2
Wasabi,Sauce,Très rare,,6,97,2,25,0,11
Houmous,Tartinade,Commun,,67,30,1,11,0,3
Miel,Tartinade,Commun,,2,265,9,69,4,43
Bacon,Viande,Commun,,20,541,37,1,42,0
Boeuf haché,Viande,Commun,,28,553,18,30,44,3
Oeuf,Viande,Commun,,150,52,0,14,0,2
Poulet,Viande,Commun,,5,285,0,13,0,0
Turquie,Viande,Commun,,10,45,3,9,1,1
Bière,Boisson,Rare,,70,13,1,2,0,1
Chocapic,Céréales,Commun,,100,387,9,73,5,8
pain au raisin,Patisserie,Commun,,100,297,6,48,9,2
pain au chocolat,Patisserie,Commun,,100,420,8,47,23,3
Croissant,Patisserie,Commun,,100,406,8,46,21,3
Oreo,Snack,Commun,,100,587,5,71,20,3
Mars,Snack,Commun,,100,456,4,70,17,1
Snickers,Snack,Commun,,100,491,8,60,24,1
Jambon blanc,Viande,Commun,,100,122,21,1,4,0
Jambon de poulet,Viande,Commun,,100,125,18,1,2,1
Vache qui rit,Fromage,Commun,,100,232,11,7,18,1
Kiri,Fromage,Commun,,100,305,9,3,26,0
Nouille instantanée,PlatPrepare,Commun,,100,445,8,55,16,2
Soupe en brique,PlatPrepare,Commun,,100,44,1,6,2,1
Magnum (glace),Snack,Commun,,100,270,4,27,18,1
Galette de riz,Snack,Commun,,100,380,7,83,2,2
Cordon bleu,PlatPrepare,Commun,,100,300,11,16,22,1
Coca-Cola,Boisson,Commun,,100,42,0,11,0,0
Fanta,Boisson,Commun,,100,48,0,12,0,0
Oasis,Boisson,Commun,,100,55,0,13,0,0
Tarte au citron,Patisserie,Commun,,100,340,5,41,20,2
Vin rouge,Alcool,Commun,,100,85,0,2,0,0
Whisky,Alcool,Commun,,100,250,0,0,0,0
Rhum,Alcool,Commun,,100,231,0,0,0,0
Pina colada,Alcool,Commun,,100,174,0,17,7,0
Mojito,Alcool,Commun,,100,110,0,12,0,0
