Nom,Type,Rarete,Portion,Weight,Volume,Calorie au 100g,Protéine,Glucide,Lipide,Fibre,IG
Acerola,Fruit,Très rare,Petit,5.0,100,32.0,0.4,7.7,0.3,1.1,20
Ail,Legume,Commun,Petit,3.0,5,149.0,6.4,33.1,0.5,2.1,30
Airelle,Fruit,Rare,Petit,15.0,1,46.0,0.4,11.3,0.1,3.8,45
Algues,Legume,Rare,Petit,10.0,100,43.0,5.8,9.6,0.6,0.3,0
Amande,Oleagineux,Commun,Petit,1.0,1,579.0,21.2,21.7,49.9,12.5,15
Ananas,Fruit,Commun,Tranche,20.0,1200,50.0,0.5,13.1,0.1,1.4,45
Anchois,Poisson,Rare,Unitaire,128.0,100,210.0,29.0,0.0,10.0,0.0,0
Artichaut,Legume,Commun,Unitaire,150.0,500,47.0,3.3,10.5,0.2,5.4,20
Asperge,Legume,Commun,Unitaire,150.0,5,20.0,2.2,3.9,0.1,2.1,15
Aubergine,Legume,Commun,Unitaire,30.0,250,25.0,1.0,5.9,0.2,3.0,20
Avocat,Lipide,Commun,Unitaire,120.0,150,160.0,2.0,8.5,14.7,6.7,10
Babybel,Fromage,Commun,Unitaire,22.0,15,314.0,22.5,0.0,25.0,0.0,0
Tranche de bacon,Viande,Commun,Unitaire,20.0,10,541.0,37.0,1.4,42.0,0.0,0
Banane,Fruit,Commun,Unitaire,82.0,120,89.0,1.1,22.8,0.3,2.6,60
Bette,Legume,Rare,,50.0,100,19.0,1.8,3.7,0.2,1.6,0
Betterave,Legume,Commun,Unitaire,20.0,70,43.0,1.6,9.6,0.2,2.8,30
Beurre,Lipide,Commun,Tranche,85.0,100,717.0,0.9,0.1,81.1,0.0,0
Bière,Alcool,Rare,Liquide,70.0,100,43.0,0.5,3.6,0.0,0.0,0
Biscuits Lu,Snack,Commun,Unitaire,30.0,15,475.0,6.0,68.0,20.0,2.5,0
Blé,Feculent,Commun,Petit,40.0,200,327.0,12.6,71.2,1.5,12.2,0
Boeuf haché,Viande,Commun,Unitaire,28.0,100,250.0,26.0,0.0,17.0,0.0,0
Bok choy,Legume,Rare,,3.0,200,13.0,1.5,2.2,0.2,1.0,0
Bonbons Haribo,Snack,Commun,Unitaire,40.0,100,343.0,6.9,77.4,0.2,0.0,0
Branche de céleri,Legume,Commun,Unitaire,2.0,100,14.0,0.7,3.0,0.2,1.6,15
Brocoli,Legume,Commun,Unitaire,61.0,400,34.0,2.8,6.6,0.4,2.6,15
Bubble Tea,Boisson,Commun,Liquide,400.0,100,85.0,0.3,21.0,0.1,0.2,0
Cacahuète,Oleagineux,Commun,Petit,40.0,1,567.0,25.8,16.1,49.2,8.5,15
Cacao,Lipide,Commun,Petit,70.0,100,228.0,19.6,57.9,13.7,37.0,20
Noix de Cajou,Oleagineux,Commun,Petit,20.0,1,553.0,18.2,30.2,43.9,3.3,0
Melon,Fruit,Commun,Tranche,13.0,1500,40.0,1.0,9.0,0.0,2.2,60
Câpres,Condiment,Rare,,200.0,5,23.0,2.4,4.9,0.9,3.3,0
Carotte,Legume,Commun,Unitaire,20.0,50,41.0,0.9,9.6,0.2,2.8,30
Cassis,Fruit,Rare,Petit,67.0,0.5,63.0,1.4,15.4,0.0,4.3,0
Céleri,Legume,Commun,,89.0,100,16.0,0.7,3.0,0.2,1.6,15
Champignon,Legume,Commun,Unitaire,100.0,5,22.0,3.1,3.3,0.3,1.0,15
Chantilly,Laitage,Commun,Liquide,30.0,50,257.0,2.0,12.5,23.0,0.0,0
Châtaigne,Feculent,Rare,Petit,100.0,100,213.0,2.4,45.5,2.2,8.3,60
Cheddar,Laitage,Commun,Tranche,80.0,100,403.0,24.9,1.3,33.1,0.0,0
Chia,Oleagineux,Rare,Petit,3.0,100,486.0,16.5,42.1,30.7,34.4,0
Chili,Sauce,Commun,Liquide,100,100,40.0,2.0,9.5,0.4,1.5,0
Chips,Snack,Commun,Petit,30.0,30,536.0,6.4,50.0,34.0,4.2,70
Un bol de chocapic,Céréales,Commun,Unitaire,100.0,250,389.0,7.2,77.2,4.5,7.3,84
Chou,Legume,Commun,,92.0,350,25.0,1.3,5.8,0.1,2.5,15
Chou de Bruxelles,Legume,Commun,,150.0,5,43.0,3.4,8.9,0.3,3.8,15
Chou frisé,Legume,Commun,,2.0,200,49.0,4.3,8.8,0.9,3.6,15
Chou rouge,Legume,Commun,,205.0,350,31.0,1.4,7.4,0.2,2.1,15
Chou kale,Legume,Rare,,4.0,100,49.0,4.3,8.8,0.9,3.6,15
Chou vert,Legume,Commun,,124.0,350,25.0,1.3,5.8,0.1,2.5,15
Chou-fleur,Legume,Commun,,100.0,350,25.0,2.0,5.0,0.3,2.0,15
Ciboulette,Legume,Commun,,100.0,100,30.0,3.3,4.4,0.7,2.5,0
Citron,Fruit,Commun,Unitaire,100.0,60,29.0,1.1,9.3,0.3,2.8,20
Clémentine,Fruit,Commun,Unitaire,3.0,80,41.0,0.8,10.6,0.2,1.7,30
Coca cola,Boisson,Commun,Liquide,330.0,100,42.0,0.0,10.6,0.0,0.0,63
Coing,Fruit,Rare,Unitaire,10.0,200,57.0,0.4,15.3,0.1,1.9,35
Compote de pommes,Fruit,Commun,Liquide,100.0,100,68.0,0.3,16.0,0.2,1.3,35
Concombre,Legume,Commun,Unitaire,24.0,200,12.0,0.6,2.2,0.1,0.5,15
Cordon bleu,PlatPrepare,Commun,Unitaire,100.0,250,226.0,16.0,11.0,13.0,0.0,0
Cornichons,Legume,Commun,Petit,30.0,5,12.0,0.3,2.3,0.2,1.2,15
Courge,Legume,Commun,Unitaire,30.0,1500,20.0,0.6,4.3,0.1,1.1,75
Courgette,Legume,Commun,Unitaire,30.0,150,17.0,1.2,3.1,0.3,1.0,15
Crabe,Crustace,Rare,,2.0,150,83.0,17.9,0.0,0.2,0.0,0
Cranberry,Fruit,Rare,Petit,234.0,0.5,46.0,0.4,12.2,0.1,5.4,45
Crème fraîche,Laitage,Commun,Liquide,30.0,100,300.0,2.0,3.0,31.0,0.0,0
Cresson,Legume,Rare,Petit,5.0,100,11.0,2.3,1.3,0.1,0.5,15
Crevette,Crustace,Commun,Petit,50.0,10,119.0,22.8,1.5,1.7,0.0,0
Croissant,Patisserie,Commun,Unitaire,100.0,60,406.0,8.0,45.0,21.0,2.6,70
Dattes,Fruit,Commun,Petit,15.0,5,277.0,1.8,75.0,0.2,6.7,70
Échalote,Legume,Commun,Petit,28.0,5,72.0,2.5,16.8,0.1,3.2,15
Endive,Legume,Commun,Unitaire,40.0,200,17.0,0.9,3.4,0.2,1.6,15
Epinard,Legume,Commun,,24.0,100,23.0,2.9,1.1,0.4,2.2,15
Estragon,Legume,Rare,,282.0,5,295.0,22.8,50.2,7.2,7.4,0
Fanta,Boisson,Commun,Unitaire,100.0,100,47.0,0.0,11.4,0.0,0.0,68
Fenouil,Legume,Commun,,50.0,200,31.0,1.2,7.3,0.2,3.1,15
Feta,Fromage,Commun,Tranche,30.0,100,264.0,14.2,4.1,21.3,0.0,0
Figue,Fruit,Commun,Unitaire,172.0,50,74.0,0.8,19.2,0.3,2.9,35
Flétan,Poisson,Rare,,30.0,100,91.0,19.9,0.0,1.3,0.0,0
Fraise,Fruit,Commun,Petit,32.0,12,33.0,0.7,7.7,0.3,2.0,25
Framboise,Fruit,Commun,Petit,14.0,4,52.0,1.2,11.9,0.7,6.5,25
Fromage bleu,Laitage,Rare,Unitaire,130.0,100,353.0,21.4,2.3,28.7,0.0,0
Fruit de la passion,Fruit,Commun,Unitaire,70.0,20,"97,0","2,2","23,4","0,4","10,4",30
Galette de riz,Snack,Commun,Unitaire,100.0,10,387.0,8.0,81.0,3.0,2.2,85
Gombo,Legume,Rare,,69.0,100,33.0,1.9,7.5,0.2,3.2,0
Grenade,Fruit,Commun,Unitaire,250.0,500,83.0,1.7,18.7,1.2,4.0,35
Groseille,Fruit,Rare,Petit,36.0,0.5,56.0,1.3,13.8,0.2,4.3,25
Haricot vert,Legume,Commun,Petit,5.0,5,31.0,1.8,7.1,0.1,3.4,15
Haricots noirs,Legume,Commun,Petit,192.0,50,339.0,21.3,62.4,0.9,15.5,30
Haricots rouges,Legume,Commun,Petit,200.0,50,333.0,24.4,60.0,0.8,25.0,33
Houmous,Tartinade,Commun,,67.0,100,237.0,7.9,20.1,15.6,6.0,25
Huile d'olive,Lipide,Commun,Liquide,10.0,100,884.0,0.0,0.0,100.0,0.0,0
Jalapeno,Legume,Rare,,19.0,5,29.0,0.9,6.5,0.4,2.8,0
Jambon blanc,Viande,Commun,Unitaire,100.0,50,145.0,20.5,1.0,6.3,0.0,0
Jambon de poulet,Viande,Commun,Unitaire,100.0,50,124.0,21.0,1.0,3.5,0.0,0
Chou Kale,Legume,Rare,,2.0,100,49.0,4.3,8.8,0.9,3.6,15
Kebab,PlatPrepare,Commun,Unitaire,350.0,250,"700,0","30,0","35,0","38,0","4,0",0
Ketchup,Sauce,Commun,,150.0,15,112.0,1.2,25.0,0.2,0.3,55
Kinder Bueno,Snack,Commun,Unitaire,43.0,20,572.0,8.6,49.0,37.3,1.4,0
Kiri,Fromage,Commun,Unitaire,100.0,20,319.0,6.4,5.3,30.5,0.0,0
Kiwi,Fruit,Commun,Unitaire,88.0,75,61.0,1.1,14.7,0.5,3.0,50
Lait,Laitage,Commun,Liquide,200.0,100,64.0,3.3,4.8,3.6,0.0,30
Laitue,Legume,Commun,,20.0,100,15.0,1.4,2.9,0.2,1.3,15
Lentilles,Legume,Commun,Petit,2.0,50,352.0,25.8,60.1,1.1,10.7,30
Lime,Fruit,Commun,,150.0,44,30.0,0.7,10.5,0.2,2.8,20
Graines de lin,Oleagineux,Rare,Petit,5.0,100,534.0,18.3,28.9,42.2,27.3,0
Litchi,Fruit,Rare,Unitaire,15.0,10,66.0,0.8,16.5,0.4,1.3,50
Luzerne,Legume,Très rare,,16.0,100,23.0,4.0,2.1,0.7,1.9,15
Magnum,Snack,Commun,Unitaire,100.0,100,290.0,3.5,28.5,18.5,0.5,0
Maïs,Feculent,Commun,Petit,45.0,50,365.0,9.4,74.3,4.7,7.3,55
Mandarine,Fruit,Commun,Unitaire,7.0,100,53.0,0.8,13.3,0.3,1.8,30
Mangue,Fruit,Commun,Unitaire,7.0,200,60.0,0.8,15.0,0.4,1.6,60
Marron,Feculent,Rare,,50.0,20,213.0,2.4,45.5,2.2,8.3,60
Mars,Snack,Commun,Unitaire,100.0,50,450.0,4.4,70.0,17.0,1.3,0
Melon,Fruit,Commun,Unitaire,3.0,2000,34.0,0.8,8.2,0.2,0.9,60
Miel,Tartinade,Commun,Liquide,2.0,15,304.0,0.3,82.4,0.0,0.2,60
Mojito,Alcool,Commun,Unitaire,100.0,100,110.0,0.1,9.0,0.2,0.1,0
Morue,Poisson,Rare,,30.0,100,105.0,23.0,0.0,0.9,0.0,0
Moutarde,Sauce,Commun,Liquide,123.0,15,66.0,4.4,5.8,4.0,3.3,0
Mûre,Fruit,Commun,Petit,170.0,2,43.0,1.4,9.6,0.5,5.3,25
Myrtille,Fruit,Rare,Petit,304.0,0.5,57.0,0.7,14.5,0.3,2.4,25
Noisette,Oleagineux,Commun,Petit,286.0,1,628.0,14.1,16.7,60.8,9.7,15
Noix,Oleagineux,Commun,Petit,100.0,1,654.0,15.2,13.7,65.2,6.7,15
Noix de coco,Oleagineux,Commun,Unitaire,178.0,300,354.0,3.3,15.2,33.5,9.0,45
Noix de macadamia,Oleagineux,Rare,Petit,2.0,1,718.0,7.9,13.8,75.8,8.6,15
Noix de pécan,Oleagineux,Rare,Petit,119.0,1,691.0,9.2,13.9,72.0,9.6,15
Nouille instantanée,PlatPrepare,Commun,Unitaire,100.0,100,471.0,8.2,59.0,21.0,2.4,55
Oasis,Boisson,Commun,Unitaire,100.0,100,44.0,0.0,10.3,0.0,0.0,0
Oeuf,Viande,Commun,Unitaire,150.0,60,143.0,13.0,1.1,10.0,0.0,0
Oignon,Legume,Commun,Unitaire,205.0,110,40.0,1.1,9.3,0.1,1.7,15
Olive,Oleagineux,Commun,Petit,120.0,5,115.0,0.8,6.3,10.7,3.2,15
Orange,Fruit,Commun,Unitaire,66.0,200,47.0,0.9,11.8,0.1,2.4,35
Oreo,Snack,Commun,Unitaire,100.0,15,483.0,4.9,72.0,19.5,2.7,0
pain au chocolat,Patisserie,Commun,Unitaire,100.0,60,406.0,7.7,44.5,22.6,2.6,70
pain aux raisins,Patisserie,Commun,Unitaire,100.0,60,361.0,7.2,45.1,16.4,2.1,70
Pain complet,Pain,Commun,Unitaire,4.0,50,247.0,13.0,41.0,4.4,6.8,50
Pamplemousse,Fruit,Commun,Unitaire,20.0,230,42.0,0.8,10.7,0.1,1.6,25
Panais,Legume,Rare,Unitaire,49.0,50,75.0,1.2,17.9,0.3,4.9,85
Papaye,Fruit,Rare,Unitaire,15.0,500,43.0,0.5,10.8,0.3,1.7,60
Pastèque,Fruit,Commun,Unitaire,100.0,5000,30.0,0.6,7.6,0.2,0.4,75
Patate douce,Feculent,Commun,Unitaire,185.0,100,90.0,2.0,21.0,0.1,3.3,70
Pécan,Oleagineux,Rare,Petit,2.0,100,691.0,9.2,13.9,72.0,9.6,15
Pêche,Fruit,Commun,Unitaire,20.0,150,39.0,0.9,9.5,0.3,1.5,35
Piment,Legume,Commun,Unitaire,1.0,5,40.0,2.0,9.5,0.4,1.5,15
Pina colada,Alcool,Commun,Unitaire,100.0,100,174.0,0.5,17.0,10.0,0.2,0
Pistache,Oleagineux,Commun,Petit,150.0,1,562.0,20.2,27.5,45.4,10.6,15
Poire,Fruit,Commun,Unitaire,9.0,150,57.0,0.4,15.2,0.1,3.1,35
Poireau,Legume,Commun,Unitaire,186.0,50,61.0,1.5,14.2,0.3,1.8,15
Pois chiche,Legume,Commun,Petit,8.0,50,364.0,19.3,61.0,6.0,17.4,28
Poisson blanc,Poisson,Commun,,150.0,100,86.0,18.3,0.0,1.0,0.0,0
Poivron,Legume,Commun,Unitaire,100.0,120,31.0,1.0,6.0,0.3,2.1,15
Pomelo,Fruit,Commun,Unitaire,100.0,230,42.0,0.8,10.7,0.1,1.6,25
Pomme,Fruit,Commun,Unitaire,150.0,150,52.0,0.3,13.8,0.2,2.4,35
Pomme de terre,Feculent,Commun,Unitaire,120.0,130,77.0,2.0,17.0,0.1,2.2,85
Potiron,Legume,Commun,Unitaire,120.0,1000,26.0,1.0,6.5,0.1,0.5,75
Poulet,Viande,Commun,,5.0,150,239.0,27.3,0.0,13.6,0.0,0
Prune,Fruit,Commun,Unitaire,2.0,50,46.0,0.7,11.4,0.3,1.4,35
Quinoa,Feculent,Rare,Petit,10.0,50,368.0,14.1,64.2,6.1,7.0,35
Radis,Legume,Commun,Petit,30.0,5,16.0,0.7,3.4,0.1,1.6,15
Raifort,Legume,Rare,Unitaire,20.0,5,48.0,1.2,11.3,0.7,3.3,0
Raisin,Fruit,Commun,Petit,170.0,5,69.0,0.7,18.1,0.2,0.9,45
Rhubarbe,Legume,Rare,,245.0,50,21.0,0.9,4.5,0.2,1.8,15
Rhum,Alcool,Commun,Liquide,100.0,100,231.0,0.0,0.0,0.0,0.0,0
